flags,instruction,category,intent,response,instruction_es,response_es
BLQ,i want assistance unsubscribing from the newsletter,SUBSCRIPTION,newsletter_subscription,"I've been informed that you would like assistance with unsubscribing from our newsletter. I apologize if the newsletter content no longer meets your interests. To unsubscribe, you can simply click on the ""unsubscribe"" link at the bottom of any newsletter email you receive from us. Alternatively, you can also reach out to our customer support team, and they will be more than happy to assist you in unsubscribing. Our team takes your feedback seriously and wants to ensure your newsletter preferences align with your interests. Is there anything else I can help you with?",Quiero ayuda para darme de baja del boletín.,"Me informaron que te gustaría recibir ayuda para darte de baja de nuestro boletín. Lamento si el contenido del boletín ya no se ajusta a tus intereses. Para darte de baja, simplemente podés hacer clic en el enlace de ""darse de baja"" que está al final de cualquier correo del boletín que recibas de nuestra parte. Alternativamente, también podés comunicarte con nuestro equipo de atención al cliente, y estarán más que felices de ayudarte a darte de baja. Nuestro equipo toma en serio tus comentarios y quiere asegurarse de que tus preferencias de boletín se alineen con tus intereses. ¿Hay algo más en lo que pueda ayudarte?"
BL,I want help to see order {{Order Number}} status,ORDER,track_order,"Happy to hear from you! I truly understand that you're seeking assistance to check the status of your order with the order number {{Order Number}}. To provide you with accurate and up-to-date information, I kindly request you to visit the '{{Order Status}}' section on our website. It will display the current status of your order along with any relevant updates. If you have any further questions or need additional support, please don't hesitate to ask. I'm here to ensure you have a seamless experience!",Quiero ayuda para ver el estado del pedido {{Número de Pedido}}.,"¡Me alegra saber de vos! Entiendo perfectamente que estás buscando ayuda para verificar el estado de tu pedido con el número de orden {{Order Number}}. Para brindarte información precisa y actualizada, te pido que visites la sección '{{Order Status}}' en nuestro sitio web. Allí podrás ver el estado actual de tu pedido junto con cualquier actualización relevante. Si tenés más preguntas o necesitás apoyo adicional, no dudes en preguntar. ¡Estoy aquí para asegurarme de que tengas una experiencia sin inconvenientes!"
BLMQ,i dont know what i need to do to check the withdrawal fees,CANCEL,check_cancellation_fee,"No problem! I can assist you with checking the withdrawal fees. To do so, you can refer to our terms and conditions document or reach out to our customer service team for detailed information.",No sé qué tengo que hacer para verificar las tarifas de retiro.,"¡No hay problema! Puedo ayudarte a verificar las tarifas de retiro. Para hacerlo, podés consultar nuestro documento de términos y condiciones o comunicarte con nuestro equipo de atención al cliente para obtener información detallada."
BILM,what do I have to do to report problems with online payment?,PAYMENT,payment_issue,"I've come to understand that you're encountering problems with your online payment, and I'm here to guide you through the process of reporting these issues. The first step is to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Once you have connected with our team, they will assist you in documenting the details of the problem and initiate the necessary investigations to resolve the issue. Providing them with specific information about the error you encountered, such as error codes, transaction timestamps, and any error messages received, will greatly assist in expediting the resolution process. Rest assured that our dedicated team will work diligently to address your concerns promptly and ensure a satisfactory resolution. Thank you for bringing this matter to our attention, and we appreciate your patience as we work together to resolve your online payment problem.",¿Qué tengo que hacer para reportar problemas con el pago en línea?,"He llegado a entender que estás teniendo problemas con tu pago en línea, y estoy aquí para guiarte en el proceso de reportar estos inconvenientes. El primer paso es comunicarte con nuestro equipo de atención al cliente. Están disponibles {{Customer Support Hours}} al {{Customer Support Phone Number}} o a través del chat en vivo en nuestro sitio web en {{Website URL}}. Una vez que te conectes con nuestro equipo, te ayudarán a documentar los detalles del problema e iniciarán las investigaciones necesarias para resolverlo. Proporcionarles información específica sobre el error que encontraste, como códigos de error, marcas de tiempo de la transacción y cualquier mensaje de error recibido, ayudará mucho a acelerar el proceso de resolución. Ten la seguridad de que nuestro equipo dedicado trabajará arduamente para atender tus inquietudes de manera rápida y asegurar una resolución satisfactoria. Gracias por traer este asunto a nuestra atención, y apreciamos tu paciencia mientras trabajamos juntos para resolver tu problema de pago en línea."
BIL,where can I get information about a delivery address change?,SHIPPING,change_shipping_address,"You can find information about changing your delivery address by visiting our website and navigating to the ""Help"" or ""FAQ"" section. Alternatively, you can contact our customer support team directly for assistance with changing your delivery address.",¿Dónde puedo obtener información sobre un cambio de dirección de entrega?,"Podés encontrar información sobre cómo cambiar tu dirección de entrega visitando nuestro sitio web y navegando a la sección de ""Ayuda"" o ""Preguntas Frecuentes"". Alternativamente, podés contactar directamente a nuestro equipo de atención al cliente para obtener ayuda con el cambio de tu dirección de entrega."
BELNQZ,i canot correct the order i made,ORDER,change_order,"We understand that you are having difficulty correcting the order you made. We apologize for any inconvenience this may have caused. To assist you further, could you please provide us with the order number? This will enable us to understand your situation better and find a suitable solution for you. Your satisfaction is our top priority, and we are here to help.",No puedo corregir el pedido que hice.,"Entendemos que estás teniendo dificultades para corregir el pedido que hiciste. Pedimos disculpas por cualquier inconveniente que esto haya podido causar. Para poder ayudarte mejor, ¿podrías proporcionarnos el número de pedido? Esto nos permitirá entender tu situación con más claridad y encontrar una solución adecuada para vos. Tu satisfacción es nuestra máxima prioridad, y estamos aquí para ayudar."
BLM,I don't know what I have to do to see the termination fees,CANCEL,check_cancellation_fee,"To view the termination fees, you can log in to your online account and navigate to the section on contract details. There, you should be able to find information about any applicable termination charges. If you're unable to locate this information online, I recommend reaching out to our customer service team who will be happy to assist you further.",No sé qué tengo que hacer para ver las tarifas de cancelación.,"Para ver las tarifas de cancelación, podés iniciar sesión en tu cuenta en línea y navegar a la sección de detalles del contrato. Ahí deberías poder encontrar información sobre cualquier cargo de cancelación aplicable. Si no podés localizar esta información en línea, te recomiendo que te pongas en contacto con nuestro equipo de atención al cliente, que estará encantado de ayudarte."
BLM,I want to check what shipment methods you offer,DELIVERY,delivery_options,"I'll do my best! It's great to see your interest in exploring our shipment methods. Let's break down the options we have for you:

1. Standard Shipping: This is our regular shipping option that typically takes {{Date Range}} business days to deliver. It's perfect for non-urgent shipments.

2. Expedited Shipping: If you need your package a bit quicker, our expedited shipping option is the way to go. Your items will arrive within {{Date Range}} business days.

3. Overnight Shipping: For those urgent shipments, we offer overnight shipping. This ensures that your package will be delivered the next business day.

4. In-Store Pickup: If you prefer to grab your items from one of our stores, you can choose the in-store pickup option. Just select the nearest store location during the checkout process.

I hope this helps you in deciding the best shipment method for your needs. If you have any further questions or require assistance with anything else, feel free to let me know.",Quiero verificar qué métodos de envío ofrecen.,"¡Haré lo mejor que pueda! Es genial ver tu interés en explorar nuestros métodos de envío. Vamos a desglosar las opciones que tenemos para vos:

1. Envío Estándar: Esta es nuestra opción de envío regular que generalmente tarda {{Rango de Fechas}} días hábiles en entregar. Es perfecta para envíos no urgentes.

2. Envío Acelerado: Si necesitás tu paquete un poco más rápido, nuestra opción de envío acelerado es la indicada. Tus artículos llegarán en un plazo de {{Rango de Fechas}} días hábiles.

3. Envío Overnight: Para esos envíos urgentes, ofrecemos envío overnight. Esto asegura que tu paquete se entregue al día siguiente hábil.

4. Recogida en Tienda: Si preferís recoger tus artículos en una de nuestras tiendas, podés elegir la opción de recogida en tienda. Solo tenés que seleccionar la ubicación de la tienda más cercana durante el proceso de compra.

Espero que esto te ayude a decidir el mejor método de envío para tus necesidades. Si tenés más preguntas o necesitás ayuda con algo más, no dudes en decírmelo."
BKM,check invoices from eleven months ago,INVOICE,check_invoice,"I acknowledge that you're looking to check invoices from eleven months ago. To assist you with this, could you please provide me with the specific date range for the invoices you would like to review? Once I have this information, I can guide you on how to access and view the invoices from that time period. Your satisfaction is my priority, and I'm here to help you every step of the way.",revisá las facturas de hace once meses.,"Reconozco que estás buscando revisar facturas de hace once meses. Para ayudarte con esto, ¿podrías proporcionarme el rango de fechas específico de las facturas que te gustaría revisar? Una vez que tenga esta información, puedo guiarte sobre cómo acceder y ver las facturas de ese período. Tu satisfacción es mi prioridad, y estoy aquí para ayudarte en cada paso del camino."
BKL,create platinum account for wife,ACCOUNT,create_account,"That's wonderful! I can assist you in creating a platinum account for your wife. To proceed, I will need some details. Could you kindly provide your wife's full name, email address, and a preferred username? Rest assured that we prioritize security and privacy, and all information shared will be handled with the utmost care. Once I have these details, I'll guide you step-by-step through the account creation process, ensuring a smooth and enjoyable experience for both you and your wife.",crear cuenta platinum para mi esposa,"¡Eso es maravilloso! Puedo ayudarte a crear una cuenta platinum para tu esposa. Para continuar, necesitaré algunos detalles. ¿Podrías proporcionarme el nombre completo de tu esposa, su dirección de correo electrónico y un nombre de usuario preferido? Ten la seguridad de que priorizamos la seguridad y la privacidad, y toda la información compartida será tratada con el máximo cuidado. Una vez que tenga estos detalles, te guiaré paso a paso a través del proceso de creación de la cuenta, asegurando una experiencia fluida y agradable tanto para vos como para tu esposa."
